Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,carbon_source,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),growth_phase,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR7693534,RNA-Seq,100,2854773300,PRJNA486005,SAMN09832830,1357331553,Growth in citrate,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552613,GSM3333090,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:50:00Z,1,GSM3333090,Pseudomonas putida,SRP157937,KT2440
SRR7693535,RNA-Seq,100,2943504300,PRJNA486005,SAMN09832830,1536215021,Growth in citrate,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552613,GSM3333090,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:54:00Z,1,GSM3333090,Pseudomonas putida,SRP157937,KT2440
SRR7693536,RNA-Seq,100,2869609800,PRJNA486005,SAMN09832829,1354339069,Growth in citrate,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552614,GSM3333091,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:53:00Z,1,GSM3333091,Pseudomonas putida,SRP157937,KT2440
SRR7693537,RNA-Seq,100,3000956100,PRJNA486005,SAMN09832829,1545773522,Growth in citrate,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552614,GSM3333091,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:50:00Z,1,GSM3333091,Pseudomonas putida,SRP157937,KT2440
SRR7693538,RNA-Seq,100,3459410900,PRJNA486005,SAMN09832828,1628416299,Growth in citrate,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552615,GSM3333092,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:52:00Z,1,GSM3333092,Pseudomonas putida,SRP157937,KT2440
SRR7693539,RNA-Seq,100,3659049400,PRJNA486005,SAMN09832828,1866004006,Growth in citrate,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552615,GSM3333092,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:53:00Z,1,GSM3333092,Pseudomonas putida,SRP157937,KT2440
SRR7693540,RNA-Seq,100,2457771500,PRJNA486005,SAMN09832827,1166996385,Growth in ferulic acid,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552616,GSM3333093,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:52:00Z,1,GSM3333093,Pseudomonas putida,SRP157937,KT2440
SRR7693541,RNA-Seq,100,2511754200,PRJNA486005,SAMN09832827,1312220457,Growth in ferulic acid,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552616,GSM3333093,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T18:22:00Z,1,GSM3333093,Pseudomonas putida,SRP157937,KT2440
SRR7693542,RNA-Seq,100,2258173900,PRJNA486005,SAMN09832826,1064181703,Growth in ferulic acid,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552617,GSM3333094,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:50:00Z,1,GSM3333094,Pseudomonas putida,SRP157937,KT2440
SRR7693543,RNA-Seq,100,2357481400,PRJNA486005,SAMN09832826,1213831349,Growth in ferulic acid,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4552617,GSM3333094,Mid-exponential phase,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2018-10-23T00:00:00Z,2018-08-14T17:50:00Z,1,GSM3333094,Pseudomonas putida,SRP157937,KT2440
