Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,GEO_Accession (exp),growth_condition,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain
SRR8922838,RNA-Seq,302,3923030434,PRJNA533248,SAMN11455449,1556564021,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704140,Wild-type,GSM3728418,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:27:00Z,1,GSM3728418,Culture cells,SRP192848,KT2440
SRR8922839,RNA-Seq,302,4575208494,PRJNA533248,SAMN11455448,1817218149,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704141,Wild-type,GSM3728419,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:27:00Z,1,GSM3728419,Culture cells,SRP192848,KT2440
SRR8922840,RNA-Seq,302,4494257696,PRJNA533248,SAMN11455447,1795635234,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704142,Wild-type,GSM3728420,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:28:00Z,1,GSM3728420,Culture cells,SRP192848,KT2440
SRR8922841,RNA-Seq,302,4442608750,PRJNA533248,SAMN11455446,1755226294,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704143,Wild-type,GSM3728421,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:28:00Z,1,GSM3728421,Culture cells,SRP192848,KT2440
SRR8922842,RNA-Seq,302,3116954080,PRJNA533248,SAMN11455445,1255306828,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704144,Wild-type,GSM3728422,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:26:00Z,1,GSM3728422,Culture cells,SRP192848,KT2440
SRR8922843,RNA-Seq,302,4409256172,PRJNA533248,SAMN11455444,1751785626,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704145,Wild-type,GSM3728423,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:29:00Z,1,GSM3728423,Culture cells,SRP192848,KT2440
SRR8922844,RNA-Seq,302,3876389252,PRJNA533248,SAMN11455443,1552434144,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704146,Wild-type,GSM3728424,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:27:00Z,1,GSM3728424,Culture cells,SRP192848,KT2440
SRR8922845,RNA-Seq,302,2799839886,PRJNA533248,SAMN11455442,1147589117,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704147,Wild-type,GSM3728425,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:25:00Z,1,GSM3728425,Culture cells,SRP192848,KT2440
SRR8922846,RNA-Seq,302,4853948152,PRJNA533248,SAMN11455441,1903885079,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704148,Wild-type,GSM3728426,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:29:00Z,1,GSM3728426,Culture cells,SRP192848,KT2440
SRR8922847,RNA-Seq,302,3916952382,PRJNA533248,SAMN11455440,1511378851,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704149,Wild-type,GSM3728427,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:27:00Z,1,GSM3728427,Culture cells,SRP192848,KT2440
SRR8922848,RNA-Seq,302,3405535918,PRJNA533248,SAMN11455439,1337013897,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5704150,Wild-type,GSM3728428,Bioreactor with low glucose content,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Pseudomonas putida,ILLUMINA,2019-11-21T00:00:00Z,2019-04-17T10:27:00Z,1,GSM3728428,Culture cells,SRP192848,KT2440
