Run,Assay Type,atcc_catalog_number,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR18298640,RNA-Seq,47054,75,903817200,PRJNA796354,SAMN26574093,330314783,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX14436235,KT2440 GB045,NextSeq 500,GSM5946194,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:30:00Z,1,GSM5946194,ATCC 47054,SRP354566
SRR18298641,RNA-Seq,47054,75,765751500,PRJNA796354,SAMN26574094,280472027,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436234,KT2440 GB045,NextSeq 500,GSM5946193,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:28:00Z,1,GSM5946193,ATCC 47054,SRP354566
SRR18298642,RNA-Seq,47054,75,797004675,PRJNA796354,SAMN26574095,291978709,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436233,KT2440 GB045,NextSeq 500,GSM5946192,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946192,ATCC 47054,SRP354566
SRR18298643,RNA-Seq,47054,75,718706400,PRJNA796354,SAMN26574096,263109851,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436232,KT2440 GB045,NextSeq 500,GSM5946191,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946191,ATCC 47054,SRP354566
SRR18298644,RNA-Seq,47054,75,726151650,PRJNA796354,SAMN26574097,264418966,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX14436231,KT2440 GB045,NextSeq 500,GSM5946190,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946190,ATCC 47054,SRP354566
SRR18298645,RNA-Seq,47054,75,925028250,PRJNA796354,SAMN26574098,336806313,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX14436230,KT2440 GB045,NextSeq 500,GSM5946189,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:11:00Z,1,GSM5946189,ATCC 47054,SRP354566
SRR18298646,RNA-Seq,47054,75,820818075,PRJNA796354,SAMN26574099,298399369,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX14436229,KT2440 GB045,NextSeq 500,GSM5946188,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:30:00Z,1,GSM5946188,ATCC 47054,SRP354566
SRR18298647,RNA-Seq,47054,75,788173050,PRJNA796354,SAMN26574100,288146036,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX14436228,KT2440 GB045,NextSeq 500,GSM5946187,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946187,ATCC 47054,SRP354566
SRR18298648,RNA-Seq,47054,75,644588325,PRJNA796354,SAMN26574077,233652214,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,fastq,run.zq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436227,KT2440 GB062,NextSeq 500,GSM5946210,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:29:00Z,1,GSM5946210,ATCC 47054,SRP354566
SRR18298649,RNA-Seq,47054,75,1279596000,PRJNA796354,SAMN26574078,463678957,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"sra,run.zq,fastq","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX14436226,KT2440 GB062,NextSeq 500,GSM5946209,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-11T20:11:00Z,1,GSM5946209,ATCC 47054,SRP354566
SRR18298650,RNA-Seq,47054,75,792752250,PRJNA796354,SAMN26574079,288871095,"SYSTEMS BIOLOGY RESEARCH GROUP, BIOENGINEERING, UNIVERSITY OF CALIFORNIA, SAN DIEGO",public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX14436225,KT2440 GB062,NextSeq 500,GSM5946208,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas putida KT2440,ILLUMINA,2022-04-28T00:00:00Z,2022-03-12T04:30:00Z,1,GSM5946208,ATCC 47054,SRP354566
