feature_gene	class_gene	start	end	strand	symbol	locus_tag	feature_interval_length	attributes_gene	feature_product	class_product	product_accession_product	non-redundant_refseq_product	name_product	product_length_product	attributes_product	old_locus_tag
gene	protein_coding	147	1019	-		PP_RS00005	873	old_locus_tag	CDS	with_protein	WP_003253185.1	WP_003253185.1	ParB/RepB/Spo0J family partition protein	290.0		PP_0001
gene	protein_coding	1029	1820	-		PP_RS00010	792	old_locus_tag	CDS	with_protein	WP_003253182.1	WP_003253182.1	ParA family protein	263.0		PP_0002
gene	protein_coding	1839	2489	-	rsmG	PP_RS00015	651	old_locus_tag	CDS	with_protein	WP_003253179.1	WP_003253179.1	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	216.0		PP_0003
gene	protein_coding	2486	4378	-	mnmG	PP_RS00020	1893	old_locus_tag	CDS	with_protein	WP_049588470.1	WP_049588470.1	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	630.0		PP_0004
gene	protein_coding	5012	6382	-	mnmE	PP_RS00025	1371	old_locus_tag	CDS	with_protein	WP_010951424.1	WP_010951424.1	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE	456.0		PP_0005
gene	protein_coding	6471	8153	-	yidC	PP_RS00030	1683	old_locus_tag	CDS	with_protein	WP_010951425.1	WP_010951425.1	membrane protein insertase YidC	560.0		PP_0006
gene	protein_coding	8156	8401	-	yidD	PP_RS00035	246	old_locus_tag	CDS	with_protein	WP_010951426.1	WP_010951426.1	membrane protein insertion efficiency factor YidD	81.0		PP_0007
gene	protein_coding	8394	8798	-	rnpA	PP_RS00040	405	old_locus_tag	CDS	with_protein	WP_003253166.1	WP_003253166.1	ribonuclease P protein component	134.0		PP_0008
gene	protein_coding	8812	8946	-	rpmH	PP_RS00045	135	old_locus_tag	CDS	with_protein	WP_003253163.1	WP_003253163.1	50S ribosomal protein L34	44.0		PP_0009
gene	protein_coding	9542	11062	+	dnaA	PP_RS00050	1521	old_locus_tag	CDS	with_protein	WP_010951427.1	WP_010951427.1	chromosomal replication initiator protein DnaA	506.0		PP_0010
gene	protein_coding	11103	12206	+	dnaN	PP_RS00055	1104	old_locus_tag	CDS	with_protein	WP_003253156.1	WP_003253156.1	DNA polymerase III subunit beta	367.0		PP_0011
gene	protein_coding	12222	13325	+	recF	PP_RS00060	1104	old_locus_tag	CDS	with_protein	WP_003253154.1	WP_003253154.1	DNA replication/repair protein RecF	367.0		PP_0012
gene	protein_coding	13330	15750	+	gyrB	PP_RS00065	2421	old_locus_tag	CDS	with_protein	WP_003253152.1	WP_003253152.1	DNA topoisomerase (ATP-hydrolyzing) subunit B	806.0		PP_0013
gene	protein_coding	16589	17227	+		PP_RS00070	639	old_locus_tag	CDS	with_protein	WP_011953077.1	WP_011953077.1	TnsA endonuclease N-terminal domain-containing protein	212.0		PP_5421
gene	protein_coding	17208	19166	+		PP_RS00075	1959	old_locus_tag	CDS	with_protein	WP_016497347.1	WP_016497347.1	DDE-type integrase/transposase/recombinase	652.0		PP_0014
gene	protein_coding	19163	20122	+		PP_RS00080	960	old_locus_tag	CDS	with_protein	WP_010951429.1	WP_010951429.1	TniB family NTP-binding protein	319.0		PP_0015
gene	protein_coding	20198	22114	+		PP_RS00085	1917	old_locus_tag	CDS	with_protein	WP_010951430.1	WP_010951430.1	TniQ family protein	638.0		PP_0016
gene	protein_coding	22171	22530	+		PP_RS00090	360	old_locus_tag	CDS	with_protein	WP_010951431.1	WP_010951431.1	histone-like nucleoid-structuring protein, MvaT/MvaU family	119.0		PP_0017
gene	protein_coding	23176	24018	+		PP_RS00095	843	old_locus_tag	CDS	with_protein	WP_010951432.1	WP_010951432.1	TIGR04255 family protein	280.0		PP_0018
gene	protein_coding	24015	24698	+		PP_RS00100	684	old_locus_tag	CDS	with_protein	WP_126404318.1	WP_126404318.1	transcriptional regulator	227.0		PP_0019
gene	protein_coding	24701	25570	+		PP_RS28370	870	old_locus_tag	CDS	with_protein	WP_016497350.1	WP_016497350.1	hypothetical protein	289.0		PP_0020
gene	protein_coding	25881	26804	+		PP_RS00110	924	old_locus_tag	CDS	with_protein	WP_010951435.1	WP_010951435.1	hypothetical protein	307.0		PP_0021
gene	protein_coding	27025	27234	+		PP_RS00115	210		CDS	with_protein	WP_003298409.1	WP_003298409.1	hypothetical protein	69.0		
gene	protein_coding	27249	27455	+		PP_RS00120	207		CDS	with_protein	WP_003298411.1	WP_003298411.1	hypothetical protein	68.0		
gene	protein_coding	27599	27727	-		PP_RS28780	129	old_locus_tag	CDS	with_protein	WP_003253468.1	WP_003253468.1	hypothetical protein	42.0		PP_0023
gene	protein_coding	27850	29547	-		PP_RS00125	1698	old_locus_tag	CDS	with_protein	WP_003298414.1	WP_003298414.1	phosphoethanolamine--lipid A transferase	565.0		PP_0024
gene	protein_coding	30038	30376	+		PP_RS00130	339		CDS	with_protein	WP_079732563.1	WP_079732563.1	zinc ribbon domain-containing protein	112.0		
gene	protein_coding	30431	31336	+		PP_RS00135	906	old_locus_tag	CDS	with_protein	WP_010951438.1	WP_010951438.1	cation diffusion facilitator family transporter	301.0		PP_0026
gene	protein_coding	31494	31844	+		PP_RS00140	351	old_locus_tag	CDS	with_protein	WP_011953105.1	WP_011953105.1	DUF3147 family protein	116.0		PP_0027
gene	protein_coding	31877	32203	-		PP_RS00145	327	old_locus_tag	CDS	with_protein	WP_010951440.1	WP_010951440.1	DUF2790 domain-containing protein	108.0		PP_0028
gene	protein_coding	32893	33567	+		PP_RS00150	675	old_locus_tag	CDS	with_protein	WP_003253457.1	WP_003253457.1	heavy metal response regulator transcription factor	224.0		PP_0029
gene	protein_coding	33564	34982	+		PP_RS00155	1419	old_locus_tag	CDS	with_protein	WP_010951441.1	WP_010951441.1	heavy metal sensor histidine kinase	472.0		PP_0030
gene	protein_coding	35040	35627	-		PP_RS00160	588	old_locus_tag	CDS	with_protein	WP_010951442.1	WP_010951442.1	hypothetical protein	195.0		PP_0031
gene	protein_coding	35894	36115	+		PP_RS00165	222	old_locus_tag	CDS	with_protein	WP_010951443.1	WP_010951443.1	hypothetical protein	73.0		PP_0032
gene	protein_coding	36198	37652	-		PP_RS00170	1455	old_locus_tag	CDS	with_protein	WP_010951444.1	WP_010951444.1	phospholipid carrier-dependent glycosyltransferase	484.0		PP_0033
gene	protein_coding	37646	38629	-		PP_RS00175	984	old_locus_tag	CDS	with_protein	WP_010951445.1	WP_010951445.1	glycosyltransferase family 2 protein	327.0		PP_0034
gene	protein_coding	38595	39014	-		PP_RS00180	420	old_locus_tag	CDS	with_protein	WP_010951446.1	WP_010951446.1	GtrA family protein	139.0		PP_0035
gene	protein_coding	39272	40240	+		PP_RS00185	969	old_locus_tag	CDS	with_protein	WP_010951447.1	WP_010951447.1	LysR family transcriptional regulator	322.0		PP_0036
gene	protein_coding	40451	41758	+		PP_RS00190	1308	old_locus_tag	CDS	with_protein	WP_009395904.1	WP_009395904.1	OprO/OprP family phosphate-selective porin	435.0		PP_0037
gene	protein_coding	42057	43082	+		PP_RS00195	1026	old_locus_tag	CDS	with_protein	WP_010951450.1	WP_010951450.1	hypothetical protein	341.0		PP_0039
gene	protein_coding	43210	43434	+		PP_RS00200	225	old_locus_tag	CDS	with_protein	WP_010951451.1	WP_010951451.1	hypothetical protein	74.0		PP_0040
gene	protein_coding	43527	45524	-		PP_RS00205	1998	old_locus_tag	CDS	with_protein	WP_010951452.1	WP_010951452.1	heavy metal translocating P-type ATPase	665.0		PP_0041
gene	protein_coding	45727	46050	-		PP_RS00210	324	old_locus_tag	CDS	with_protein	WP_003253432.1	WP_003253432.1	DUF2790 domain-containing protein	107.0		PP_0042
gene	protein_coding	46213	49374	-		PP_RS00215	3162	old_locus_tag	CDS	with_protein	WP_010951454.1	WP_010951454.1	CusA/CzcA family heavy metal efflux RND transporter	1053.0		PP_0043
gene	protein_coding	49399	50649	-		PP_RS00220	1251	old_locus_tag	CDS	with_protein	WP_010951455.1	WP_010951455.1	efflux RND transporter periplasmic adaptor subunit	416.0		PP_0044
gene	protein_coding	50718	51989	-		PP_RS00225	1272	old_locus_tag	CDS	with_protein	WP_010951456.1	WP_010951456.1	TolC family protein	423.0		PP_0045
gene	protein_coding	52394	53737	+		PP_RS00230	1344	old_locus_tag	CDS	with_protein	WP_003253422.1	WP_003253422.1	OprD family porin	447.0		PP_0046
gene	protein_coding	54227	54901	+		PP_RS00235	675	old_locus_tag	CDS	with_protein	WP_003253420.1	WP_003253420.1	heavy metal response regulator transcription factor	224.0		PP_0047
gene	protein_coding	55019	55342	+		PP_RS00240	324	old_locus_tag	CDS	with_protein	WP_010951457.1	WP_010951457.1	hypothetical protein	107.0		PP_0048
gene	protein_coding	55444	55971	-		PP_RS00245	528	old_locus_tag	CDS	with_protein	WP_012269855.1	WP_012269855.1	hypothetical protein	175.0		PP_5423
gene	protein_coding	56161	57558	-		PP_RS00250	1398	old_locus_tag	CDS	with_protein	WP_223296393.1	WP_223296393.1	hypothetical protein	465.0		PP_0049
gene	protein_coding	57640	58041	-		PP_RS00255	402	old_locus_tag	CDS	with_protein	WP_153428583.1	WP_153428583.1	hypothetical protein	133.0		PP_5424
gene	protein_coding	58777	59184	-		PP_RS00260	408	old_locus_tag	CDS	with_protein	WP_010951459.1	WP_010951459.1	RcnB family protein	135.0		PP_0050
gene	protein_coding	59316	60608	-		PP_RS00265	1293	old_locus_tag	CDS	with_protein	WP_010951460.1	WP_010951460.1	sigma-54-dependent Fis family transcriptional regulator	430.0		PP_0051
gene	protein_coding	60831	61715	+		PP_RS00270	885	old_locus_tag	CDS	with_protein	WP_010951461.1	WP_010951461.1	MBL fold metallo-hydrolase	294.0		PP_0052
gene	protein_coding	61756	63024	+		PP_RS00275	1269	old_locus_tag	CDS	with_protein	WP_010951462.1	WP_010951462.1	FAD/NAD(P)-binding oxidoreductase	422.0		PP_0053
gene	protein_coding	63021	63839	+		PP_RS00280	819	old_locus_tag	CDS	with_protein	WP_049588437.1	WP_049588437.1	sulfite exporter TauE/SafE family protein	272.0		PP_0054
gene	protein_coding	63828	64715	-		PP_RS00285	888	old_locus_tag	CDS	with_protein	WP_010951464.1	WP_010951464.1	LysR family transcriptional regulator	295.0		PP_0055
gene	protein_coding	64949	66595	+		PP_RS00290	1647	old_locus_tag	CDS	with_protein	WP_049588436.1	WP_049588436.1	GMC family oxidoreductase N-terminal domain-containing protein	548.0		PP_0056
gene	protein_coding	66693	68312	+		PP_RS00295	1620	old_locus_tag	CDS	with_protein	WP_010951466.1	WP_010951466.1	MFS transporter	539.0		PP_0057
gene	protein_coding	68487	69272	-		PP_RS00300	786	old_locus_tag	CDS	with_protein	WP_010951467.1	WP_010951467.1	lysophospholipid acyltransferase family protein	261.0		PP_0058
gene	protein_coding	69319	69846	-	gmhB	PP_RS00305	528	old_locus_tag	CDS	with_protein	WP_003253129.1	WP_003253129.1	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	175.0		PP_0059
gene	protein_coding	69850	71904	-	glyS	PP_RS00310	2055	old_locus_tag	CDS	with_protein	WP_010951468.1	WP_010951468.1	glycine--tRNA ligase subunit beta	684.0		PP_0060
gene	protein_coding	71901	72848	-	glyQ	PP_RS00315	948	old_locus_tag	CDS	with_protein	WP_003253126.1	WP_003253126.1	glycine--tRNA ligase subunit alpha	315.0		PP_0061
gene	protein_coding	72932	73483	+		PP_RS00320	552	old_locus_tag	CDS	with_protein	WP_010951469.1	WP_010951469.1	DNA-3-methyladenine glycosylase I	183.0		PP_0062
gene	protein_coding	73525	74412	+		PP_RS00325	888	old_locus_tag	CDS	with_protein	WP_010951470.1	WP_010951470.1	lysophospholipid acyltransferase	295.0		PP_0063
gene	protein_coding	74510	74824	-		PP_RS00330	315	old_locus_tag	CDS	with_protein	WP_010951471.1	WP_010951471.1	tetratricopeptide repeat protein	104.0		PP_0064
gene	protein_coding	74836	76209	-	trkA	PP_RS00335	1374	old_locus_tag	CDS	with_protein	WP_010951472.1	WP_010951472.1	Trk system potassium transporter TrkA	457.0		PP_0065
gene	protein_coding	76233	77543	-	rsmB	PP_RS00340	1311	old_locus_tag	CDS	with_protein	WP_010951473.1	WP_010951473.1	16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	436.0		PP_0066
gene	protein_coding	77540	78472	-	fmt	PP_RS00345	933	old_locus_tag	CDS	with_protein	WP_010951474.1	WP_010951474.1	methionyl-tRNA formyltransferase	310.0		PP_0067
gene	protein_coding	78533	79039	-	def	PP_RS00350	507	old_locus_tag	CDS	with_protein	WP_003253111.1	WP_003253111.1	peptide deformylase	168.0		PP_0068
gene	protein_coding	79246	80343	+	dprA	PP_RS00355	1098	old_locus_tag	CDS	with_protein	WP_010951475.1	WP_010951475.1	DNA-processing protein DprA	365.0		PP_0069
gene	protein_coding	80386	80943	+		PP_RS00360	558	old_locus_tag	CDS	with_protein	WP_010951476.1	WP_010951476.1	L-threonylcarbamoyladenylate synthase	185.0		PP_0070
gene	protein_coding	81077	81277	+		PP_RS00365	201	old_locus_tag	CDS	with_protein	WP_003253106.1	WP_003253106.1	hypothetical protein	66.0		PP_5425
gene	protein_coding	81709	82023	+		PP_RS00370	315	old_locus_tag	CDS	with_protein	WP_172835044.1	WP_172835044.1	hypothetical protein	104.0		PP_0071
gene	protein_coding	82151	83128	-		PP_RS00375	978	old_locus_tag	CDS	with_protein	WP_010951478.1	WP_010951478.1	NADPH:quinone reductase	325.0		PP_0072
gene	protein_coding	83261	84172	+	hemF	PP_RS00380	912	old_locus_tag	CDS	with_protein	WP_010951479.1	WP_010951479.1	oxygen-dependent coproporphyrinogen oxidase	303.0		PP_0073
gene	protein_coding	84198	85022	+	aroE	PP_RS00385	825	old_locus_tag	CDS	with_protein	WP_010951480.1	WP_010951480.1	shikimate dehydrogenase	274.0		PP_0074
gene	protein_coding	85152	86717	-		PP_RS00390	1566	old_locus_tag	CDS	with_protein	WP_010951481.1	WP_010951481.1	SulP family inorganic anion transporter	521.0		PP_0075
gene	protein_coding	86862	87785	-	choX	PP_RS00395	924	old_locus_tag	CDS	with_protein	WP_049588430.1	WP_049588430.1	choline ABC transporter substrate-binding protein	307.0		PP_0076
gene	protein_coding	87800	89317	-	betC	PP_RS00400	1518	old_locus_tag	CDS	with_protein	WP_010951483.1	WP_010951483.1	choline-sulfatase	505.0		PP_0077
gene	protein_coding	89426	90325	+		PP_RS00405	900	old_locus_tag	CDS	with_protein	WP_010951485.1	WP_010951485.1	LysR family transcriptional regulator	299.0		PP_0079
gene	protein_coding	90447	91064	-		PP_RS00410	618	old_locus_tag	CDS	with_protein	WP_010951486.1	WP_010951486.1	NAD(P)H-binding protein	205.0		PP_0080
gene	protein_coding	91117	91449	+		PP_RS00415	333	old_locus_tag	CDS	with_protein	WP_020189868.1	WP_020189868.1	DOPA 4,5-dioxygenase family protein	110.0		PP_0081
gene	protein_coding	91570	92379	-	trpA	PP_RS00420	810	old_locus_tag	CDS	with_protein	WP_010951488.1	WP_010951488.1	tryptophan synthase subunit alpha	269.0		PP_0082
gene	protein_coding	92376	93593	-	trpB	PP_RS00425	1218	old_locus_tag	CDS	with_protein	WP_010951489.1	WP_010951489.1	tryptophan synthase subunit beta	405.0		PP_0083
gene	protein_coding	93704	94600	+		PP_RS00430	897	old_locus_tag	CDS	with_protein	WP_010951490.1	WP_010951490.1	LysR family transcriptional regulator	298.0		PP_0084
gene	protein_coding	94597	94920	-		PP_RS00435	324	old_locus_tag	CDS	with_protein	WP_014589231.1	WP_014589231.1	DUF883 family protein	107.0		PP_0085
gene	protein_coding	95071	95286	+		PP_RS00440	216	old_locus_tag	CDS	with_protein	WP_003253076.1	WP_003253076.1	dodecin	71.0		PP_0086
gene	protein_coding	95387	95608	+		PP_RS00445	222	old_locus_tag	CDS	with_protein	WP_049588427.1	WP_049588427.1	DUF1161 domain-containing protein	73.0		PP_0087
gene	protein_coding	95680	96684	-		PP_RS00450	1005	old_locus_tag	CDS	with_protein	WP_010951493.1	WP_010951493.1	LLM class flavin-dependent oxidoreductase	334.0		PP_0088
gene	protein_coding	96837	97262	+		PP_RS00455	426	old_locus_tag	CDS	with_protein	WP_003253070.1	WP_003253070.1	OsmC family protein	141.0		PP_0089
gene	protein_coding	97338	97571	+		PP_RS00460	234	old_locus_tag	CDS	with_protein	WP_020191563.1	WP_020191563.1	DUF1161 domain-containing protein	77.0		PP_0090
gene	protein_coding	97607	98020	-		PP_RS00465	414	old_locus_tag	CDS	with_protein	WP_010951495.1	WP_010951495.1	lipoprotein	137.0		PP_0091
gene	protein_coding	98076	98489	-		PP_RS00470	414	old_locus_tag	CDS	with_protein	WP_010951496.1	WP_010951496.1	lipoprotein	137.0		PP_0092
gene	protein_coding	98575	99651	+		PP_RS00475	1077	old_locus_tag	CDS	with_protein	WP_049588425.1	WP_049588425.1	aminopeptidase	358.0		PP_0093
gene	protein_coding	99758	100408	-		PP_RS00480	651	old_locus_tag	CDS	with_protein	WP_010951498.1	WP_010951498.1	HAD family hydrolase	216.0		PP_0094
gene	protein_coding	100530	101078	-		PP_RS00485	549	old_locus_tag	CDS	with_protein	WP_004575263.1	WP_004575263.1	gamma carbonic anhydrase family protein	182.0		PP_0095
gene	protein_coding	101145	103232	+	prlC	PP_RS00490	2088	old_locus_tag	CDS	with_protein	WP_049588422.1	WP_049588422.1	oligopeptidase A	695.0		PP_0096
gene	protein_coding	103229	103510	+		PP_RS00495	282	old_locus_tag	CDS	with_protein	WP_010951500.1	WP_010951500.1	YheV family putative zinc ribbon protein	93.0		PP_0097
gene	protein_coding	103842	104900	+		PP_RS00505	1059	old_locus_tag	CDS	with_protein	WP_010951502.1	WP_010951502.1	PA0069 family radical SAM protein	352.0		PP_0099
gene	protein_coding	105207	105926	+		PP_RS00510	720	old_locus_tag	CDS	with_protein	WP_003253046.1	WP_003253046.1	carbonic anhydrase	239.0		PP_0100
gene	protein_coding	106119	107651	+		PP_RS00515	1533	old_locus_tag	CDS	with_protein	WP_020191557.1	WP_020191557.1	SulP family inorganic anion transporter	510.0		PP_0101
gene	protein_coding	107799	108440	-		PP_RS00520	642	old_locus_tag	CDS	with_protein	WP_014861534.1	WP_014861534.1	hypothetical protein	213.0		PP_5426
gene	protein_coding	108810	109937	+	coxB	PP_RS00525	1128	old_locus_tag	CDS	with_protein	WP_010951505.1	WP_010951505.1	cytochrome c oxidase subunit II	375.0		PP_0103
gene	protein_coding	109981	111570	+	ctaD	PP_RS00530	1590	old_locus_tag	CDS	with_protein	WP_010951506.1	WP_010951506.1	cytochrome c oxidase subunit I	529.0		PP_0104
gene	protein_coding	111580	112146	+		PP_RS00535	567	old_locus_tag	CDS	with_protein	WP_003253035.1	WP_003253035.1	cytochrome c oxidase assembly protein	188.0		PP_0105
gene	protein_coding	112163	113050	+		PP_RS00540	888	old_locus_tag	CDS	with_protein	WP_010951507.1	WP_010951507.1	cytochrome c oxidase subunit 3	295.0		PP_0106
gene	protein_coding	113082	113285	-		PP_RS00545	204	old_locus_tag	CDS	with_protein	WP_003253030.1	WP_003253030.1	twin transmembrane helix small protein	67.0		PP_5427
gene	protein_coding	113337	114074	+		PP_RS00550	738	old_locus_tag	CDS	with_protein	WP_049588418.1	WP_049588418.1	SURF1 family protein	245.0		PP_0107
gene	protein_coding	114043	114624	+		PP_RS00555	582	old_locus_tag	CDS	with_protein	WP_010951509.1	WP_010951509.1	hypothetical protein	193.0		PP_0108
gene	protein_coding	114634	115713	+		PP_RS00560	1080	old_locus_tag	CDS	with_protein	WP_010951510.1	WP_010951510.1	COX15/CtaA family protein	359.0		PP_0109
gene	protein_coding	115698	116591	+	cyoE	PP_RS00565	894	old_locus_tag	CDS	with_protein	WP_010951511.1	WP_010951511.1	heme o synthase	297.0		PP_0110
gene	protein_coding	116588	117220	+		PP_RS00570	633	old_locus_tag	CDS	with_protein	WP_003253019.1	WP_003253019.1	SCO family protein	210.0		PP_0111
gene	protein_coding	117314	118084	-		PP_RS00575	771	old_locus_tag	CDS	with_protein	WP_010951512.1	WP_010951512.1	MetQ/NlpA family ABC transporter substrate-binding protein	256.0		PP_0112
gene	protein_coding	118149	118820	-		PP_RS00580	672	old_locus_tag	CDS	with_protein	WP_010951513.1	WP_010951513.1	methionine ABC transporter permease	223.0		PP_0113
gene	protein_coding	118820	119827	-		PP_RS00585	1008	old_locus_tag	CDS	with_protein	WP_003253013.1	WP_003253013.1	methionine ABC transporter ATP-binding protein	335.0		PP_0114
gene	protein_coding	120055	122190	+	katE	PP_RS00590	2136	old_locus_tag	CDS	with_protein	WP_010951514.1	WP_010951514.1	catalase HPII	711.0		PP_0115
gene	protein_coding	122251	122958	-		PP_RS00595	708	old_locus_tag	CDS	with_protein	WP_010951515.1	WP_010951515.1	PA5502 family lipoprotein	235.0		PP_0116
gene	protein_coding	123085	123867	-	znuB	PP_RS00600	783	old_locus_tag	CDS	with_protein	WP_010951516.1	WP_010951516.1	zinc ABC transporter permease subunit ZnuB	260.0		PP_0117
gene	protein_coding	123860	124633	-	znuC	PP_RS00605	774	old_locus_tag	CDS	with_protein	WP_010951517.1	WP_010951517.1	zinc ABC transporter ATP-binding protein ZnuC	257.0		PP_0118
gene	protein_coding	124630	125115	-	zur	PP_RS00610	486	old_locus_tag	CDS	with_protein	WP_003253002.1	WP_003253002.1	zinc uptake transcriptional repressor Zur	161.0		PP_0119
gene	protein_coding	125182	126090	+		PP_RS00615	909	old_locus_tag	CDS	with_protein	WP_010951519.1	WP_010951519.1	zinc ABC transporter substrate-binding protein	302.0		PP_0120
gene	protein_coding	126140	127090	-		PP_RS00620	951	old_locus_tag	CDS	with_protein	WP_003252998.1	WP_003252998.1	homoserine kinase	316.0		PP_0121
gene	protein_coding	127160	127447	-		PP_RS00625	288	old_locus_tag	CDS	with_protein	WP_010951520.1	WP_010951520.1	DUF2782 domain-containing protein	95.0		PP_0122
gene	protein_coding	127523	130270	+	polA	PP_RS00630	2748	old_locus_tag	CDS	with_protein	WP_010951521.1	WP_010951521.1	DNA polymerase I	915.0		PP_0123
gene	protein_coding	130641	131273	-	yihA	PP_RS00635	633	old_locus_tag	CDS	with_protein	WP_010951522.1	WP_010951522.1	ribosome biogenesis GTP-binding protein YihA/YsxC	210.0		PP_0124
gene	protein_coding	131475	131777	+		PP_RS00640	303	old_locus_tag	CDS	with_protein	WP_003252992.1	WP_003252992.1	c-type cytochrome	100.0		PP_0125
gene	protein_coding	131809	132426	+		PP_RS00645	618	old_locus_tag	CDS	with_protein	WP_003252989.1	WP_003252989.1	c-type cytochrome	205.0		PP_0126
